Plot,plot_id1,stock_seed_id,plot_block,plot_rep,StalkLodgingRawcount,Stand_count,Success.lodged,Failure.number_not_lodged,PC1,PC2,PC3,disease
B57,16GD0147,PI_550472_,9,1,0,17,0,17,-0.043149626,-13.91885848,3.405622365,625
NC340,16GD0148,Ames_27166_,9,1,68.75,16,11,5,-49.75713583,31.04382809,-4.68402553,2375
L317,16GD0149,NSL_65873_,9,1,0,16,0,16,0.897919085,-24.81822207,8.684194975,1217.5
IL101,16GD0150,Ames_27119_,9,1,0,16,NA,NA,18.07986288,-58.45712579,1.889732698,1042.5
SD44,16GD0151,PI_524969_,9,1,0,18,NA,NA,10.33501049,-19.40793592,2.853947241,835
CI.7,16GD0152,Ames_28367_,9,1,0,20,0,20,9.054564764,-17.81699973,6.386474681,737.5
NC238,16GD0153,Ames_12735_,9,1,0,14,NA,NA,-10.95847136,-5.479224453,4.494551957,815
B68,16GD0154,PI_550465_,9,1,0,19,0,19,61.79475893,27.66003176,92.3411384,1075
NC330,16GD0155,Ames_27161_,9,1,0,20,0,20,NA,NA,NA,352.5
FR4326,16GD0156,011:292-5,9,1,0,7,NA,NA,NA,NA,NA,NA
CML69,16GD0157,Ames_28184_,9,1,0,17,0,17,-44.97850702,28.00617775,2.466937401,995
OH43,16GD0158,Ames_19288_,9,1,75,16,12,4,16.24194777,-46.01931223,-9.530018016,1445
MO24W,16GD0159,PI_587144_,9,1,0,19,0,19,-6.422187206,-8.843179601,0.654074783,482.5
MO44,16GD0160,Ames_28939_,9,1,0,0,NA,NA,14.75397319,-19.23740746,0.795661783,NA
CQ183,16GD0161,001:55-1,9,1,0,19,NA,NA,NA,NA,NA,2487.5
NC302,16GD0162,Ames_27147_,9,1,0,16,0,16,-59.35268641,48.03583076,-3.022896974,902.5
B96,16GD0163,PI_270297_,10,1,0,7,NA,NA,NA,NA,NA,1367.5
NC364,16GD0164,Ames_27178_,10,1,38.88888889,18,7,11,-19.09515424,-25.41176362,-41.96467774,1865
CQ183,16GD0165,001:55-1,10,1,38.88888889,18,7,11,NA,NA,NA,2582.5
B46,16GD0166,PI_550469_,10,1,69.23076923,13,9,4,29.99944839,-12.37375392,22.47855817,1092.5
4226,16GD0167,NSL_30904_,10,1,60,20,12,8,2.279690532,-14.81932647,2.458954472,2022.5
R229,16GD0168,PI_592734_,10,1,0,20,0,20,102.9752107,72.36380171,-42.3528901,755
T234,16GD0169,Ames_27190_,10,1,11.11111111,18,2,16,-1.503762889,-12.49892081,7.127090064,640
OS420,16GD0170,NSL_65874_,10,1,5.882352941,17,1,16,16.2123042,-15.5759409,-0.073895879,850
VA85,16GD0171,Ames_27193_,10,1,30,20,6,14,7.318796453,-28.39799469,-1.072511059,240
FR4326,16GD0172,011:292-5,10,1,0,19,0,19,NA,NA,NA,192.5
CMV3,16GD0173,Ames_27038_,10,1,92.30769231,13,12,1,7.900201973,-21.84917371,18.34705709,2407.5
B73HTRHM,16GD0174,Ames_27065_,10,1,5.882352941,17,1,16,119.8108135,77.20368014,-44.083382,932.5
NC338,16GD0175,Ames_27165_,10,1,21.05263158,19,4,15,-54.33620867,44.64095091,-6.200258324,885
CML328,16GD0176,Ames_27098_,10,1,26.66666667,15,4,11,-36.47654426,17.19710495,3.439229172,840
SG18,16GD0177,NSL_75979_,10,1,18.75,16,3,13,5.848902225,-34.35037935,-12.48786819,770
GA209,16GD0178,Ames_10248_,10,1,0,12,0,12,-1.726534304,-12.33675535,5.102801329,577.5
Il677a,16GD0179,Ames_27120_,10,1,60,10,6,4,7.048775848,-38.36265561,0.288165317,452.5
CI91B,16GD0180,Ames_28365_,10,1,36.84210526,19,7,12,23.59406066,-7.285160478,-19.04647974,947.5
FR4326,16GD0181,011:292-5,11,1,0,19,0,19,NA,NA,NA,192.5
DE811,16GD0182,PI_550558_,11,1,0,19,0,19,38.51833018,13.34783486,45.71405277,1560
NC294,16GD0183,Ames_27143_,11,1,0,17,0,17,80.92948,51.50079358,-61.17232308,997.5
CML220,16GD0184,Ames_27087_,11,1,5,20,1,19,-39.59909215,25.10756214,6.812669432,1140
CML247,16GD0185,PI_595541_,11,1,0,17,0,17,-48.263123,26.12204373,6.505800619,1062.5
NC290A,16GD0186,Ames_27141_,11,1,0,19,0,19,-0.978645103,-45.76666337,-52.91401206,387.5
CO106,16GD0187,Ames_27105_,11,1,45.45454545,11,5,6,3.420020618,-21.36548447,7.197352884,2455
IDS28,16GD0188,Ames_24575_,11,1,9.523809524,21,2,19,2.145709954,-35.51288758,-8.254552567,882.5
